term_description,trimester,.y.,n,statistic,df,p,p_adj_bh,p_adj_by,method
Positive regulation of vascular associated smooth muscle cell proliferation,Second,log2rfu,1116,0.9978346231714568,2,0.607,0.6506341853035144,1,Kruskal-Wallis
"Complement activation, alternative pathway",Second,log2rfu,1488,0.5078030016584307,2,0.776,0.8057191489361702,1,Kruskal-Wallis
Positive regulation of cell growth,Second,log2rfu,2232,1.537383810062238,2,0.464,0.5112380952380953,1,Kruskal-Wallis
Cellular response to vascular endothelial growth factor stimulus,Third,log2rfu,1304,4.435504632329867,2,0.109,0.13884954912197436,1,Kruskal-Wallis
Regulation of monocyte chemotaxis,Second,log2rfu,1860,4.668385527528699,2,0.0969,0.12473841726618705,1,Kruskal-Wallis
Defense response to fungus,Second,log2rfu,744,0.21327754083176842,2,0.899,0.9119108087679516,1,Kruskal-Wallis
Integrin-mediated signaling pathway,Third,log2rfu,2282,1.5993738681672767,2,0.449,0.496545529,1,Kruskal-Wallis
Cellular homeostasis,Third,log2rfu,3586,2.1162261245153786,2,0.347,0.3981821291150064,1,Kruskal-Wallis
Negative regulation of growth,Second,log2rfu,3720,0.39243869248275587,2,0.822,0.845629743,1,Kruskal-Wallis
Negative regulation of growth,Third,log2rfu,3260,1.0683290794731874,2,0.586,0.6301378205128204,1,Kruskal-Wallis
Regulation of receptor-mediated endocytosis,Second,log2rfu,2232,2.9955953344569934,2,0.224,0.2700880503144654,1,Kruskal-Wallis
B cell activation,Second,log2rfu,2604,0.4840182438629199,2,0.785,0.8128626543209877,1,Kruskal-Wallis
B cell activation,Third,log2rfu,2282,1.160634270279843,2,0.56,0.6048450704225352,1,Kruskal-Wallis
Regulation of neutrophil chemotaxis,Third,log2rfu,1956,1.4762636154246138,2,0.478,0.524724744,1,Kruskal-Wallis
Negative regulation of protein phosphorylation,Third,log2rfu,4564,3.254032315899167,2,0.197,0.24001270994098958,1,Kruskal-Wallis
Positive regulation of immunoglobulin production,Second,log2rfu,744,1.091183368208931,2,0.579,0.623860297,1,Kruskal-Wallis
Positive regulation of immunoglobulin production,Third,log2rfu,652,0.6468037238537363,2,0.724,0.7593653771004297,1,Kruskal-Wallis
Negative regulation of endothelial cell migration,Second,log2rfu,1488,3.3393682570685996,2,0.188,0.22988246013667424,1,Kruskal-Wallis
Gonad development,Second,log2rfu,2232,0.7946106059125668,2,0.672,0.7145990491283677,1,Kruskal-Wallis
Positive regulation of neutrophil migration,Third,log2rfu,1956,3.93,2,0.14,0.1741241890639481,1,Kruskal-Wallis
Positive regulation of T cell migration,Third,log2rfu,978,0.5207162496640194,2,0.771,0.802390074,1,Kruskal-Wallis
Regulation of cell-substrate junction organization,Third,log2rfu,1956,2.1088001609650746,2,0.348,0.3989884664673216,1,Kruskal-Wallis
Cardiac chamber morphogenesis,Second,log2rfu,2604,4.46,2,0.107,0.13649619771863117,1,Kruskal-Wallis
Regulation of cell morphogenesis involved in differentiation,Third,log2rfu,3586,2.214619643658807,2,0.33,0.38111876075731504,1,Kruskal-Wallis
Positive regulation of receptor-mediated endocytosis,Second,log2rfu,1488,0.40818107285122096,2,0.815,0.8397159309021113,1,Kruskal-Wallis
Negative regulation of neurogenesis,Second,log2rfu,2976,0.7135513487246499,2,0.7,0.7393939393939394,1,Kruskal-Wallis
Negative regulation of neurogenesis,Third,log2rfu,2608,1.06,2,0.589,0.6328566853482785,1,Kruskal-Wallis
ERBB signaling pathway,Third,log2rfu,3260,2.52,2,0.284,0.33300830056793357,1,Kruskal-Wallis
Forebrain development,Third,log2rfu,4564,0.6869086206188513,2,0.709,0.7471362387122105,1,Kruskal-Wallis
Regulation of focal adhesion assembly,Third,log2rfu,1956,2.1088001609650746,2,0.348,0.3989884664673216,1,Kruskal-Wallis
Regulation of animal organ morphogenesis,Second,log2rfu,3720,1.5199934894299076,2,0.468,0.5152223133716161,1,Kruskal-Wallis
Regulation of animal organ morphogenesis,Third,log2rfu,3260,1.7410198011202738,2,0.419,0.46819150707743545,1,Kruskal-Wallis
Regulation of axonogenesis,Second,log2rfu,3720,0.1788565695296711,2,0.914,0.9243315749811605,1,Kruskal-Wallis
Regulation of actin cytoskeleton reorganization,Second,log2rfu,1860,1.0086565837746093,2,0.604,0.6479360511590727,1,Kruskal-Wallis
Regulation of actin cytoskeleton reorganization,Third,log2rfu,1630,3.116045025796666,2,0.211,0.2560235081374322,1,Kruskal-Wallis
Negative regulation of protein binding,Third,log2rfu,2282,1.891626741550681,2,0.388,0.4379276703111859,1,Kruskal-Wallis
Cellular response to external stimulus,Second,log2rfu,2232,0.24811114360818465,2,0.883,0.9001033042157235,1,Kruskal-Wallis
Regulation of immunoglobulin mediated immune response,Second,log2rfu,1116,3.9460293997544795,2,0.139,0.1729605934167826,1,Kruskal-Wallis
Regulation of immunoglobulin mediated immune response,Third,log2rfu,978,2.7937422842242086,2,0.247,0.2947745664739884,1,Kruskal-Wallis
Positive regulation of muscle cell differentiation,Second,log2rfu,1488,3.490845290737525,2,0.175,0.21476909007773204,1,Kruskal-Wallis
Regulation of homotypic cell-cell adhesion,Third,log2rfu,652,1.192262950409713,2,0.551,0.5970464271295922,1,Kruskal-Wallis
Activation of innate immune response,Second,log2rfu,2604,1.9250616563658696,2,0.382,0.4324285111767187,1,Kruskal-Wallis
Regulation of protein localization to membrane,Third,log2rfu,3260,1.4226519332260068,2,0.491,0.5376760505915953,1,Kruskal-Wallis
Placenta development,Second,log2rfu,1116,1.805797902140057,2,0.405,0.45482008368200844,1,Kruskal-Wallis
Placenta development,Third,log2rfu,978,3.510101543631663,2,0.173,0.2126062271062271,1,Kruskal-Wallis
Positive regulation of B cell proliferation,Second,log2rfu,1860,1.8078413896300844,2,0.405,0.45482008368200844,1,Kruskal-Wallis
Positive regulation of B cell proliferation,Third,log2rfu,1630,0.17672731333368574,2,0.915,0.9249943502824859,1,Kruskal-Wallis
Cardiac chamber development,Second,log2rfu,2976,3.705049166805111,2,0.157,0.19400920810313077,1,Kruskal-Wallis
Cardiac chamber development,Third,log2rfu,2608,4.5689164264176725,2,0.102,0.1309268292682927,1,Kruskal-Wallis
Heart trabecula morphogenesis,Second,log2rfu,1488,0.87,2,0.647,0.6896536934074663,1,Kruskal-Wallis
Trabecula morphogenesis,Second,log2rfu,1488,0.87,2,0.647,0.6896536934074663,1,Kruskal-Wallis
Activin receptor signaling pathway,Second,log2rfu,1860,3.422247260704353,2,0.181,0.22162591240875912,1,Kruskal-Wallis
Activin receptor signaling pathway,Third,log2rfu,1630,0.3357162969559795,2,0.845,0.863992381,1,Kruskal-Wallis
Positive regulation of cardiac muscle tissue growth,Third,log2rfu,1956,0.6606454082166238,2,0.719,0.7550062597809076,1,Kruskal-Wallis
Positive regulation of endocytosis,Second,log2rfu,1860,0.6956988068714054,2,0.706,0.7445595284872298,1,Kruskal-Wallis
Regulation of protein tyrosine kinase activity,Third,log2rfu,2282,3.307415017941821,2,0.191,0.23312596634834018,1,Kruskal-Wallis
Peptidyl-tyrosine autophosphorylation,Second,log2rfu,1116,3.9422889255592963,2,0.139,0.1729605934167826,1,Kruskal-Wallis
Osteoclast differentiation,Second,log2rfu,1116,3.8425319900484283,2,0.146,0.18091597414589103,1,Kruskal-Wallis
Osteoclast differentiation,Third,log2rfu,978,4.24,2,0.12,0.15149576669802448,1,Kruskal-Wallis
Activation of protein kinase B activity,Third,log2rfu,652,0.021040402060179986,2,0.99,0.9914776119402986,1,Kruskal-Wallis
Regulation of GTPase activity,Second,log2rfu,2232,2.885163257214117,2,0.236,0.2836650246305419,1,Kruskal-Wallis
Positive regulation of supramolecular fiber organization,Third,log2rfu,2282,1.5114164583364982,2,0.47,0.516788202,1,Kruskal-Wallis
Artery development,Second,log2rfu,1860,0.6864565069854507,2,0.709,0.7471362387122105,1,Kruskal-Wallis
Regulation of T-helper 17 type immune response,Second,log2rfu,1488,0.32347085252240504,2,0.851,0.8694647887323944,1,Kruskal-Wallis
Cellular response to virus,Third,log2rfu,978,0.14339454390756146,2,0.931,0.9397532907107935,1,Kruskal-Wallis
Positive regulation of cell junction assembly,Second,log2rfu,2976,0.16515651354347938,2,0.921,0.9300090293453726,1,Kruskal-Wallis
Positive regulation of organ growth,Third,log2rfu,1956,0.6606454082166238,2,0.719,0.7550062597809076,1,Kruskal-Wallis
Regulation of membrane protein ectodomain proteolysis,Third,log2rfu,326,3.0868649199221636,2,0.214,0.25919494584837544,1,Kruskal-Wallis
Negative regulation of kinase activity,Third,log2rfu,2934,2.579282873459306,2,0.275,0.3238701184730145,1,Kruskal-Wallis
Regulation of amyloid precursor protein catabolic process,Second,log2rfu,744,1.6479573782621628,2,0.439,0.4881010770505385,1,Kruskal-Wallis
Negative regulation of transferase activity,Third,log2rfu,2934,2.579282873459306,2,0.275,0.3238701184730145,1,Kruskal-Wallis
Positive regulation of GTPase activity,Third,log2rfu,1630,1.6273787811942384,2,0.443,0.4919371121224659,1,Kruskal-Wallis
Positive regulation of I-kappaB kinase/NF-kappaB signaling,Second,log2rfu,2976,2.8394333951382578,2,0.242,0.29022698838248434,1,Kruskal-Wallis
Response to ethanol,Third,log2rfu,652,0,2,0.998,0.998744221,1,Kruskal-Wallis
Negative regulation of cysteine-type endopeptidase activity involved in apoptotic process,Third,log2rfu,1304,0.21552554548634362,2,0.898,0.911240832,1,Kruskal-Wallis
Developmental maturation,Second,log2rfu,2232,0.3727591742954246,2,0.83,0.8519005736137667,1,Kruskal-Wallis
Developmental maturation,Third,log2rfu,1956,4.476692067621116,2,0.107,0.13649619771863117,1,Kruskal-Wallis
Negative regulation of secretion,Second,log2rfu,1488,1.3811827629979234,2,0.501,0.5477327902240327,1,Kruskal-Wallis
Cell activation involved in immune response,Second,log2rfu,2976,2.0055359330926876,2,0.367,0.4188044217687075,1,Kruskal-Wallis
Negative regulation of myeloid leukocyte differentiation,Third,log2rfu,652,1.6006831112415512,2,0.449,0.496545529,1,Kruskal-Wallis
Regulation of extrinsic apoptotic signaling pathway in absence of ligand,Third,log2rfu,652,0.024497701557720575,2,0.988,0.9898439716312057,1,Kruskal-Wallis
Regulation of cellular response to oxidative stress,Third,log2rfu,1956,0.08,2,0.961,0.9674883720930232,1,Kruskal-Wallis
Positive regulation of cytoskeleton organization,Third,log2rfu,2282,1.5114164583364982,2,0.47,0.516788202,1,Kruskal-Wallis
Epithelium migration,Third,log2rfu,1304,1.17,2,0.558,0.6029275362318841,1,Kruskal-Wallis
Regulation of substrate adhesion-dependent cell spreading,Second,log2rfu,1860,0.3607354045143438,2,0.835,0.8553969465648854,1,Kruskal-Wallis
Regulation of receptor binding,Second,log2rfu,1488,2.382043649843581,2,0.304,0.35429266174554924,1,Kruskal-Wallis
Inorganic ion homeostasis,Third,log2rfu,2934,1.464935807254733,2,0.481,0.5275864323661626,1,Kruskal-Wallis
Astrocyte activation,Second,log2rfu,744,2.571368056122992,2,0.276,0.3249052631578948,1,Kruskal-Wallis
Ear development,Second,log2rfu,2976,4.733422341052574,2,0.0938,0.12109629629629629,1,Kruskal-Wallis
Vasculogenesis,Third,log2rfu,1630,2.642754586769115,2,0.267,0.3155561426684281,1,Kruskal-Wallis
Cellular ion homeostasis,Third,log2rfu,2608,0.5073526021360522,2,0.776,0.8057191489361702,1,Kruskal-Wallis
Regulation of glucose import,Third,log2rfu,652,1.9678529667048679,2,0.374,0.42462605752961086,1,Kruskal-Wallis
Positive regulation of cardiac muscle cell proliferation,Third,log2rfu,1956,0.6606454082166238,2,0.719,0.7550062597809076,1,Kruskal-Wallis
T cell migration,Second,log2rfu,744,0.06,2,0.971,0.9760913857677902,1,Kruskal-Wallis
Leukocyte activation involved in immune response,Second,log2rfu,2976,2.0055359330926876,2,0.367,0.4188044217687075,1,Kruskal-Wallis
Osteoblast differentiation,Third,log2rfu,2282,0.5785383786405873,2,0.749,0.7822241245136188,1,Kruskal-Wallis
Transforming growth factor beta receptor signaling pathway,Third,log2rfu,652,0.4345570233883791,2,0.805,0.8316474210931486,1,Kruskal-Wallis
Regulation of cytokine production involved in inflammatory response,Third,log2rfu,652,0.17896950937097245,2,0.914,0.9243315749811605,1,Kruskal-Wallis
Positive regulation of immunoglobulin mediated immune response,Second,log2rfu,1116,3.9460293997544795,2,0.139,0.1729605934167826,1,Kruskal-Wallis
Positive regulation of immunoglobulin mediated immune response,Third,log2rfu,978,2.7937422842242086,2,0.247,0.2947745664739884,1,Kruskal-Wallis
Metal ion homeostasis,Third,log2rfu,2282,0.5880261965512545,2,0.745,0.7789559797428904,1,Kruskal-Wallis
Regulation of cytokine-mediated signaling pathway,Second,log2rfu,1860,1.694184337684419,2,0.429,0.4781710963455149,1,Kruskal-Wallis
Cation homeostasis,Third,log2rfu,2608,0.5073526021360522,2,0.776,0.8057191489361702,1,Kruskal-Wallis
Cellular cation homeostasis,Third,log2rfu,2282,1.6667798788157597,2,0.435,0.4842554956449606,1,Kruskal-Wallis
Cellular metal ion homeostasis,Third,log2rfu,1956,2.3726201349845724,2,0.305,0.35514967462039043,1,Kruskal-Wallis
Negative regulation of cell junction assembly,Third,log2rfu,978,1.6142965464950976,2,0.446,0.49485903265812325,1,Kruskal-Wallis
Endoderm development,Third,log2rfu,978,0.9381348201709443,2,0.626,0.6691294305057746,1,Kruskal-Wallis
Anatomical structure maturation,Second,log2rfu,2232,0.3727591742954246,2,0.83,0.8519005736137667,1,Kruskal-Wallis
Anatomical structure maturation,Third,log2rfu,1956,4.476692067621116,2,0.107,0.13649619771863117,1,Kruskal-Wallis
Epithelial cell migration,Third,log2rfu,1304,1.17,2,0.558,0.6029275362318841,1,Kruskal-Wallis
Positive regulation of small GTPase mediated signal transduction,Second,log2rfu,1116,0.22102747232702313,2,0.895,0.9088838441165342,1,Kruskal-Wallis
Positive regulation of small GTPase mediated signal transduction,Third,log2rfu,978,3.682035335218643,2,0.159,0.19639024390243903,1,Kruskal-Wallis
Regulation of oxidative stress-induced cell death,Third,log2rfu,1956,0.08,2,0.961,0.9674883720930232,1,Kruskal-Wallis
Regulation of cellular component size,Second,log2rfu,5952,0.4227135582550545,2,0.809,0.8354582531742978,1,Kruskal-Wallis
Regulation of cellular component size,Third,log2rfu,5216,4.721371574494697,2,0.0944,0.121695293,1,Kruskal-Wallis
Regulation of supramolecular fiber organization,Second,log2rfu,5208,3.999135610589292,2,0.135,0.1688443616029823,1,Kruskal-Wallis
Positive regulation of transmembrane transport,Third,log2rfu,2608,0.1311576853859151,2,0.937,0.945098835,1,Kruskal-Wallis
Heart valve development,Second,log2rfu,1860,0.41963136160120484,2,0.811,0.8365580322828594,1,Kruskal-Wallis
Artery morphogenesis,Second,log2rfu,1488,0.7189253325132086,2,0.698,0.7384438312968072,1,Kruskal-Wallis
Negative regulation of protein kinase activity,Third,log2rfu,2282,0.025841449980362086,2,0.987,0.9895808741128129,1,Kruskal-Wallis
Regulation of neuron projection regeneration,Second,log2rfu,1860,0.7330501304695645,2,0.693,0.7340220994475137,1,Kruskal-Wallis
Regulation of platelet aggregation,Third,log2rfu,652,1.192262950409713,2,0.551,0.5970464271295922,1,Kruskal-Wallis
Positive regulation of NK T cell proliferation,Second,log2rfu,744,2.379976380228527,2,0.304,0.35429266174554924,1,Kruskal-Wallis
Gastrulation,Second,log2rfu,1860,1.7396414841241494,2,0.419,0.46819150707743545,1,Kruskal-Wallis
Formation of primary germ layer,Third,log2rfu,1304,1.3031282035531149,2,0.521,0.5677482744620382,1,Kruskal-Wallis
Vascular process in circulatory system,Third,log2rfu,1304,1.5991242268300994,2,0.45,0.49744645799011533,1,Kruskal-Wallis
Positive regulation of substrate adhesion-dependent cell spreading,Second,log2rfu,1860,0.3607354045143438,2,0.835,0.8553969465648854,1,Kruskal-Wallis
Activation of transmembrane receptor protein tyrosine kinase activity,Third,log2rfu,652,4.508482585477395,2,0.105,0.13445610687022902,1,Kruskal-Wallis
Regulation of natural killer cell proliferation,Second,log2rfu,744,2.379976380228527,2,0.304,0.35429266174554924,1,Kruskal-Wallis
Negative regulation of MAPK cascade,Second,log2rfu,2232,4.050011729310427,2,0.132,0.1655551401869159,1,Kruskal-Wallis
Negative regulation of MAPK cascade,Third,log2rfu,1956,0.92,2,0.631,0.6739371269399124,1,Kruskal-Wallis
Positive regulation of calcium ion import,Third,log2rfu,326,0.71,2,0.703,0.7419787652379078,1,Kruskal-Wallis
Regulation of ERBB signaling pathway,Second,log2rfu,2604,3.540022780090112,2,0.17,0.20930275229357798,1,Kruskal-Wallis
Negative regulation of cell growth,Second,log2rfu,2976,3.967718723732105,2,0.138,0.17203529958197863,1,Kruskal-Wallis
Negative regulation of cell growth,Third,log2rfu,2608,1.8989071439400504,2,0.387,0.4369827513672697,1,Kruskal-Wallis
Regulation of blood pressure,Second,log2rfu,1116,2.8467736668671932,2,0.241,0.2892862254025045,1,Kruskal-Wallis
Leukocyte migration involved in inflammatory response,Second,log2rfu,1116,2.461172643280861,2,0.292,0.34164254577157804,1,Kruskal-Wallis
Regulation of nitric-oxide synthase biosynthetic process,Second,log2rfu,744,1.2550227846859343,2,0.534,0.5800307567786321,1,Kruskal-Wallis
Vesicle-mediated transport,Third,log2rfu,8802,0.23578842238202924,2,0.889,0.9045018953752842,1,Kruskal-Wallis
Cardiac ventricle morphogenesis,Second,log2rfu,1488,0.18587834487516375,2,0.911,0.9223402489626555,1,Kruskal-Wallis
Endocardial cushion development,Second,log2rfu,1860,2.6378293964671684,2,0.267,0.3155561426684281,1,Kruskal-Wallis
Heart morphogenesis,Second,log2rfu,3348,1.8114781167387264,2,0.404,0.45407705192629816,1,Kruskal-Wallis
Regulation of DNA biosynthetic process,Second,log2rfu,2604,3.9897373361181963,2,0.136,0.16985760818985576,1,Kruskal-Wallis
Platelet-derived growth factor receptor signaling pathway,Third,log2rfu,1304,1.1385890637925513,2,0.566,0.610588424,1,Kruskal-Wallis
Negative regulation of interleukin-6 production,Third,log2rfu,978,0.8838100405364457,2,0.643,0.6859348171701113,1,Kruskal-Wallis
Semi-lunar valve development,Second,log2rfu,1116,1.664242132572781,2,0.435,0.4842554956449606,1,Kruskal-Wallis
Regulation of axon regeneration,Second,log2rfu,1488,0.4973661084759442,2,0.78,0.8086210892236385,1,Kruskal-Wallis
Antibacterial humoral response,Second,log2rfu,1116,2.3333747737351587,2,0.311,0.361352381,1,Kruskal-Wallis
